a,b,c,n,l,m,quality,m is not a proper divisor of b
1,40947200,40947201,6399,2,512,1.1065,False
1,40959999,40960000,80,4,81,1.0601,False
1,43033599,43033600,6560,2,2187,1.1053,False
1,43046720,43046721,3,16,8,1.1556,False
1,43441280,43441281,6591,2,128,1.0290,False
1,43614207,43614208,352,3,81,1.0118,False
1,44289024,44289025,6655,2,128,1.1451,False
1,44302335,44302336,6656,2,1331,1.0957,False
1,45212175,45212176,82,4,2025,1.0291,False
1,45252528,45252529,6727,2,13456,1.0038,False
1,45576000,45576001,6751,2,216000,1.0037,False
1,47045880,47045881,19,6,216,1.3449,False
1,47059599,47059600,6860,2,6859,1.1024,False
1,47279375,47279376,6876,2,330625,1.0549,False
1,55130624,55130625,7425,2,512,1.0253,False
1,60450624,60450625,7775,2,15552,1.2073,False
1,62995968,62995969,7937,2,338688,1.1119,False
1,67092480,67092481,8191,2,16384,1.0649,False
1,71385600,71385601,8449,2,2163200,1.0389,False
1,73530624,73530625,8575,2,128,1.0771,False
1,73547775,73547776,8576,2,3087,1.1037,False
1,76545000,76545001,8749,2,151875,1.2586,False
1,80856063,80856064,8992,2,42849,1.0705,False
1,83265624,83265625,9125,2,36504,1.0138,False
1,85544000,85544001,9249,2,2312000,1.0216,False
1,87890624,87890625,9375,2,32,1.0432,False
1,87909375,87909376,9376,2,3125,1.0035,False
1,88510463,88510464,9408,2,9409,1.0479,False
1,88529280,88529281,97,4,1568,1.0912,False
1,96039999,96040000,9800,2,3267,1.0853,False
1,96059600,96059601,99,4,400,1.3439,False
1,96530624,96530625,9825,2,78608,1.0920,False
1,96569928,96569929,9827,2,1061208,1.0031,False
1,104878080,104878081,10241,2,4096,1.0842,False
1,112890624,112890625,10625,2,256,1.0226,False
1,113358608,113358609,10647,2,10648,1.0732,False
1,113379903,113379904,22,6,1521,1.0319,False
1,115584000,115584001,10751,2,128000,1.0095,False
1,119552355,119552356,10934,2,1839267,1.0368,False
1,129390624,129390625,11375,2,34848,1.0080,False
1,131079600,131079601,107,4,3600,1.0694,False
1,131096511,131096512,508,3,74529,1.0039,False
1,135005696,135005697,513,3,128,1.0872,False
1,136025568,136025569,11663,2,250047,1.1753,False
1,138650624,138650625,11775,2,215296,1.1089,False
1,147646800,147646801,12151,2,4762800,1.0343,False
1,148035888,148035889,23,6,144,1.1609,False
1,148060223,148060224,12168,2,12167,1.1133,False
1,156275000,156275001,12501,2,25000,1.0322,False
1,163814400,163814401,12799,2,82944,1.0979,False
1,172160640,172160641,13121,2,93312,1.1426,False
1,173791488,173791489,13183,2,562432,1.0268,False
1,177182720,177182721,13311,2,42592,1.3040,False
1,178917375,178917376,13376,2,42875,1.0600,False
1,181037024,181037025,13455,2,12931216,1.0653,False
1,187388720,187388721,117,4,5476,1.1191,False
1,188210960,188210961,13719,2,2352637,1.1396,False
1,191130624,191130625,13825,2,27648,1.0275,False
1,205520895,205520896,14336,2,81,1.1010,False
1,205549568,205549569,14337,2,512,1.1467,False
1,214358880,214358881,11,8,32,1.0199,False
1,220492800,220492801,14849,2,691200,1.0234,False
1,228735375,228735376,15124,2,76245125,1.0518,False
1,241833600,241833601,15551,2,777600,1.0272,False
1,244109375,244109376,15624,2,15625,1.0475,False
1,244140624,244140625,5,12,16,1.0884,False
1,252015624,252015625,15875,2,31752,1.0091,False
1,260112383,260112384,16128,2,16129,1.0606,False
1,260144640,260144641,127,4,256,1.1024,False
1,266864895,266864896,16336,2,3139587,1.0215,False
1,268402688,268402689,16383,2,32768,1.0000,False
1,276922880,276922881,129,4,512,1.0365,False
1,281132288,281132289,16767,2,256,1.0328,False
1,282475248,282475249,7,10,16,1.0069,False
1,286591040,286591041,16929,2,33856,1.0083,False
1,294156800,294156801,17151,2,2195200,1.0712,False
1,303003648,303003649,17407,2,9216,1.0444,False
1,308915775,308915776,26,6,81,1.0920,False
1,308950928,308950929,17577,2,17576,1.0388,False
1,321090560,321090561,17919,2,295936,1.0196,False
1,323388288,323388289,17983,2,15552,1.0372,False
1,332150624,332150625,135,4,32,1.0033,False
1,345025250,345025251,51,5,42025,1.1801,False
1,348913663,348913664,704,3,343,1.0424,False
1,351600000,351600001,18751,2,200000,1.0400,False
1,354079488,354079489,18817,2,29506624,1.0843,False
1,384199200,384199201,19601,2,7840800,1.1213,False
1,387420488,387420489,3,18,8,1.0148,False
1,418161600,418161601,143,4,1600,1.0650,False
1,419471360,419471361,20481,2,401408,1.0172,False
1,423371775,423371776,20576,2,171475,1.0174,False
1,446941880,446941881,21141,2,7688,1.0181,False
1,450161088,450161089,21217,2,678976,1.0042,False
1,451520000,451520001,21249,2,32000,1.1505,False
1,453477024,453477025,21295,2,7198048,1.0678,False
1,481846400,481846401,21951,2,21952,1.1737,False
1,481890303,481890304,28,6,81,1.0340,False
1,511935875,511935876,22626,2,166375,1.0093,False
1,541725624,541725625,23275,2,114264,1.0110,False
1,564680168,564680169,23763,2,95048,1.0249,False
1,590441400,590441401,24299,2,16200,1.0599,False
1,590489999,590490000,24300,2,2209,1.0227,False
1,592192224,592192225,24335,2,3504096,1.1482,False
1,603930624,603930625,24575,2,16384,1.0259,False
1,625050000,625050001,25001,2,1350000,1.0299,False
1,656356767,656356768,58,5,17161,1.0418,False
1,671846399,671846400,25920,2,25921,1.0901,False
1,671898240,671898241,161,4,1152,1.1322,False
1,676052000,676052001,26001,2,4000,1.0109,False
1,705911760,705911761,163,4,1296,1.0140,False
1,708890624,708890625,26625,2,4096,1.0331,False
1,749609640,749609641,27379,2,149921928,1.0324,False
1,764467200,764467201,27649,2,1382400,1.0256,False
1,791015624,791015625,28125,2,343,1.1434,False
1,791071875,791071876,28126,2,3125,1.0613,False
1,796594175,796594176,168,4,4225,1.0218,False
1,815730720,815730721,13,8,32,1.0102,False
1,822140928,822140929,28673,2,221184,1.1354,False
1,857376960,857376961,29281,2,937024,1.0186,False
1,862890624,862890625,29375,2,1728,1.0456,False
1,862949375,862949376,29376,2,625,1.0100,False
1,886074288,886074289,29767,2,3601928,1.0575,False
1,887503680,887503681,31,6,64,1.1755,False
1,887563263,887563264,29792,2,29791,1.0665,False
1,893292543,893292544,29888,2,88209,1.0538,False
1,893352320,893352321,29889,2,3136,1.0669,False
1,974188943,974188944,31212,2,2401,1.2660,False
1,974251368,974251369,31213,2,7803,1.1014,False
1,976500000,976500001,31249,2,500000,1.0820,False
1,999999999,1000000000,10,9,81,1.0503,False
1,1008126000,1008126001,31751,2,7938000,1.0085,False
1,1040514048,1040514049,32257,2,8258048,1.0949,False
1,1073676288,1073676289,32767,2,65536,1.0000,False
1,1073741823,1073741824,2,30,9,1.0199,False
1,1073807360,1073807361,32769,2,32768,1.0558,False
1,1075774400,1075774401,32799,2,423200,1.0601,False
1,1076890624,1076890625,1025,3,512,1.0460,False
1,1097265624,1097265625,33125,2,66248,1.0155,False
1,1107624960,1107624961,33281,2,17040384,1.0340,False
1,1111934655,1111934656,1036,3,59319,1.0545,False
1,1124596224,1124596225,33535,2,373248,1.0306,False
1,1129900995,1129900996,33614,2,81,1.0325,False
1,1129968224,1129968225,33615,2,16807,1.1969,False
1,1146296448,1146296449,33857,2,5484672,1.0077,False
1,1235733408,1235733409,35153,2,2847312,1.0362,False
1,1305015624,1305015625,36125,2,648,1.0115,False
1,1328529600,1328529601,36449,2,1166400,1.0031,False
1,1332323000,1332323001,36501,2,1000,1.0180,False
1,1382278040,1382278041,37179,2,1352,1.0009,False
1,1387488000,1387488001,193,4,2000,1.1539,False
1,1549760688,1549760689,39367,2,314928,1.0138,False
1,1568239200,1568239201,199,4,7200,1.0089,False
1,1677639680,1677639681,40959,2,16384,1.0285,False
1,1726651808,1726651809,41553,2,1568,1.0328,False
1,1753599375,1753599376,41876,2,16875,1.0555,False
1,1798045695,1798045696,1216,3,243,1.0954,False
1,1836036800,1836036801,207,4,800,1.0410,False
1,1838265624,1838265625,35,6,216,1.0013,False
1,1927473408,1927473409,43903,2,2370816,1.0674,False
1,2047834008,2047834009,45253,2,35937,1.0882,False
1,2058890624,2058890625,45375,2,3136,1.0489,False
1,2135086848,2135086849,46207,2,831744,1.0047,False
1,2144153024,2144153025,46305,2,5408,1.0685,False
1,2258625624,2258625625,47525,2,94109401,1.0699,False
1,2291728383,2291728384,47872,2,11907,1.0197,False
1,2295847224,2295847225,47915,2,95832,1.0053,False
1,2340043875,2340043876,48374,2,4186125,1.0279,False
1,2361862800,2361862801,48599,2,71571600,1.0559,False
1,2375100224,2375100225,48735,2,55696,1.0960,False
1,2385540963,2385540964,48842,2,35605089,1.0044,False
1,2415820800,2415820801,49151,2,819200,1.0242,False
1,2425267008,2425267009,49247,2,2592,1.0361,False
1,2425365503,2425365504,49248,2,1331,1.0028,False
1,2476813976,2476813977,1353,3,16807,1.2645,False
1,2517530624,2517530625,50175,2,50176,1.0365,False
1,2517630975,2517630976,224,4,225,1.0032,False
1,2562789375,2562789376,50624,2,50625,1.0362,False
1,2562890624,2562890625,15,8,32,1.0718,False
1,2599609374,2599609375,1375,3,3249,1.0016,False
1,2687489280,2687489281,51841,2,10969344,1.1227,False
1,2704104000,2704104001,52001,2,1944000,1.0102,False
1,2823540768,2823540769,53137,2,68866848,1.0131,False
1,2835456000,2835456001,53249,2,1024000,1.0310,False
1,2893640624,2893640625,1425,3,29584,1.0087,False
1,3049690175,3049690176,55224,2,5303809,1.1509,False
1,3057647615,3057647616,55296,2,121,1.0285,False
1,3057758208,3057758209,55297,2,36864,1.0632,False
1,3111073728,3111073729,55777,2,1784896,1.0228,False
1,3164175000,3164175001,56251,2,4287500,1.0939,False
1,3262808640,3262808641,239,4,8788,1.3504,False
1,3262922883,3262922884,57122,2,57121,1.1784,False
1,3320640624,3320640625,57625,2,38416,1.0080,False
1,3373402560,3373402561,241,4,7744,1.0176,False
1,3429624968,3429624969,58563,2,14641,1.1000,False
1,3429742095,3429742096,242,4,81,1.0631,False
1,3451680000,3451680001,58751,2,160000,1.1487,False
1,3486666303,3486666304,59048,2,6561,1.1392,False
1,3486784400,3486784401,3,20,8,1.2937,False
1,3486902499,3486902500,59050,2,59049,1.0238,False
1,3544416224,3544416225,59535,2,4624,1.2991,False
1,3544535295,3544535296,244,4,3969,1.0751,False
1,3550133888,3550133889,59583,2,3813248,1.0988,False
1,3573289728,3573289729,59777,2,20736,1.1272,False
1,3630961152,3630961153,1537,3,25088,1.0603,False
1,3844124000,3844124001,249,4,4000,1.0219,False
1,3896880624,3896880625,62425,2,1037232,1.1893,False
1,3965850624,3965850625,62975,2,1401856,1.0188,False
1,3968999999,3969000000,63000,2,63001,1.0081,False
1,3969126000,3969126001,251,4,9000,1.2014,False
1,4022603775,4022603776,63424,2,54675,1.0283,False
1,4228120575,4228120576,65024,2,65025,1.0965,False
1,4228250624,4228250625,255,4,512,1.0325,False
1,4294836224,4294836225,65535,2,131072,1.0000,False
1,4295098368,4295098369,65537,2,589824,1.0521,False
1,4362470400,4362470401,257,4,1024,1.1155,False
1,4388930000,4388930001,66249,2,20702500,1.0681,False
1,4519738440,4519738441,67229,2,3630312,1.0646,False
1,4706920448,4706920449,68607,2,512,1.0716,False
1,4707057663,4707057664,68608,2,9801,1.0371,False
1,4878401535,4878401536,1696,3,3087,1.0149,False
1,4931691075,4931691076,70226,2,197267643,1.0797,False
1,5165871875,5165871876,71874,2,625,1.1117,False
1,5166015624,5166015625,71875,2,1331,1.1940,False
1,5256395000,5256395001,72501,2,5000,1.0069,False
1,5323307520,5323307521,72961,2,4669568,1.0741,False
1,5329146000,5329146001,73001,2,24334000,1.0168,False
1,5358972024,5358972025,73205,2,3528,1.0193,False
1,5393580480,5393580481,271,4,1728,1.0027,False
1,5529260880,5529260881,74359,2,5913648,1.0009,False
1,5858983935,5858983936,76544,2,2187,1.0089,False
1,5859137024,5859137025,76545,2,256,1.0413,False
1,6185979800,6185979801,78651,2,8497225,1.0656,False
1,6272798400,6272798401,79201,2,570254400,1.0084,False
1,6400160000,6400160001,80001,2,160000,1.0267,False
1,6528801600,6528801601,80801,2,32320800,1.0475,False
1,6547884560,6547884561,80919,2,4624,1.0091,False
1,6710722560,6710722561,81919,2,884736,1.0267,False
1,6879541248,6879541249,82943,2,41472,1.0829,False
1,6879707135,6879707136,288,4,289,1.0482,False
1,6890162048,6890162049,83007,2,5312384,1.0098,False
1,6906441024,6906441025,83105,2,6858432,1.0307,False
1,6975590399,6975590400,83520,2,83521,1.0827,False
1,6975757440,6975757441,17,8,64,1.1198,False
1,7274725263,7274725264,85292,2,9817443,1.0575,False
1,7288890624,7288890625,85375,2,20736,1.0005,False
1,7343975808,7343975809,85697,2,10368,1.1818,False
1,7353234000,7353234001,85751,2,18522000,1.0012,False
1,7525736000,7525736001,86751,2,4000,1.0368,False
1,7695500175,7695500176,87724,2,265362075,1.0297,False
1,7987711875,7987711876,89374,2,18619375,1.0131,False
