a,b,c,n,l,m,quality,m is not a proper divisor of b
1,8,9,2,3,9,1.2263,True
1,512,513,2,9,9,1.3176,False
1,6859,6860,19,3,343,1.2281,False
1,12167,12168,23,3,676,1.2555,False
1,17576,17577,26,3,81,1.0039,False
1,29791,29792,31,3,784,1.1424,False
1,32768,32769,2,15,9,1.0406,False
1,110592,110593,48,3,49,1.0135,False
1,250047,250048,63,3,64,1.0351,False
1,279936,279937,6,7,49,1.0124,False
1,512000,512001,80,3,81,1.4433,False
1,1953125,1953126,5,9,27,1.0423,False
1,2097152,2097153,2,21,9,1.0287,False
1,3176523,3176524,147,3,676,1.0145,False
1,7077888,7077889,192,3,169,1.0515,False
1,7962624,7962625,24,5,125,1.0987,False
1,9938375,9938376,215,3,10584,1.0846,False
1,11239424,11239425,224,3,225,1.0775,False
1,14172488,14172489,242,3,81,1.1708,False
1,23887872,23887873,288,3,289,1.0653,False
1,25153757,25153758,293,3,159201,1.0185,False
1,30959144,30959145,314,3,294849,1.1055,False
1,47437928,47437929,362,3,41503,1.0925,False
1,52313624,52313625,374,3,55125,1.0195,False
1,76225024,76225025,424,3,46225,1.0405,False
1,85184000,85184001,440,3,25947,1.1870,False
1,102400000,102400001,40,5,121,1.0052,False
1,114084125,114084126,485,3,41067,1.1124,False
1,125000000,125000001,500,3,11881,1.2301,False
1,134217728,134217729,2,27,9,1.1615,False
1,190109375,190109376,575,3,864,1.0506,False
1,242970624,242970625,624,3,625,1.0250,False
1,254803968,254803969,48,5,49,1.0080,False
1,307546875,307546876,675,3,676,1.0290,False
1,359425431,359425432,711,3,106276,1.0542,False
1,385828352,385828353,728,3,729,1.0755,False
1,644972544,644972545,864,3,49,1.0077,False
1,884736000,884736001,960,3,961,1.0016,False
1,992436543,992436544,63,5,64,1.0208,False
1,997002999,997003000,999,3,6125,1.0975,False
1,1151022592,1151022593,1048,3,2401,1.0131,False
1,1287913472,1287913473,1088,3,3267,1.0537,False
1,1528823808,1528823809,1152,3,361,1.0576,False
1,1564936281,1564936282,1161,3,2197,1.0129,False
1,1793613375,1793613376,1215,3,32,1.0369,False
1,2352637000,2352637001,1330,3,224939,1.0078,False
1,2357947691,2357947692,11,9,108,1.0234,False
1,2482309864,2482309865,1354,3,16807,1.0272,False
1,2599609375,2599609376,1375,3,2704,1.0654,False
1,2605285376,2605285377,1376,3,9747,1.1535,False
1,3276800000,3276800001,80,5,81,1.0475,False
1,3368254499,3368254500,1499,3,760500,1.0121,False
1,4913000000,4913000001,1700,3,729,1.0163,False
1,5044200875,5044200876,1715,3,6241,1.1320,False
1,6581255624,6581255625,1874,3,225625,1.0628,False
1,8031810176,8031810177,26,7,5041,1.1633,False
1,8589934592,8589934593,2,33,9,1.0180,False
1,9509900499,9509900500,99,5,500,1.0184,False
1,10289109375,10289109376,2175,3,6272,1.1268,False
1,10446010856,10446010857,2186,3,6561,1.0000,False
1,10460353203,10460353204,3,21,49,1.0715,False
1,12214672127,12214672128,2303,3,2304,1.0570,False
1,13396484375,13396484376,2375,3,648,1.0055,False
1,13824000000,13824000001,2400,3,343,1.1165,False
1,14172488000,14172488001,2420,3,3087,1.0632,False
1,17576000000,17576000001,2600,3,7803,1.0070,False
1,18504486125,18504486126,2645,3,3969,1.0215,False
1,22425768000,22425768001,2820,3,130321,1.0711,False
1,27653197824,27653197825,3024,3,3025,1.0113,False
1,29316250624,29316250625,124,5,625,1.0300,False
1,30693697091,30693697092,3131,3,1726596,1.0096,False
1,35126421875,35126421876,3275,3,199692,1.0069,False
1,36594368000,36594368001,3320,3,110889,1.0557,False
1,41027927849,41027927850,3449,3,540225,1.0166,False
1,58727785103,58727785104,3887,3,1944,1.0817,False
1,62476255232,62476255233,3968,3,243,1.0977,False
1,65939264000,65939264001,4040,3,61731,1.0492,False
1,68669157375,68669157376,4095,3,4096,1.0165,False
1,83281698863,83281698864,4367,3,25421764,1.1167,False
1,83682825624,83682825625,4374,3,125,1.1373,False
