a,b,c,n,l,m,quality,m is not a proper divisor of b
1,92775111183,92775111184,4527,3,2446472,1.0445,False
1,98931640625,98931640626,4625,3,159201,1.0796,False
1,100000000000,100000000001,10,11,121,1.0038,False
1,108175616801,108175616802,161,5,9801,1.1344,False
1,117289217375,117289217376,4895,3,1182816,1.0033,False
1,118587876497,118587876498,17,9,81,1.0185,False
1,155287109375,155287109376,5375,3,2304,1.0230,False
1,167011058843,167011058844,5507,3,333396,1.0144,False
1,198257271191,198257271192,5831,3,729,1.1402,False
1,231928233984,231928233985,6144,3,49,1.0059,False
1,233289844416,233289844417,6156,3,2401,1.0439,False
1,248620879872,248620879873,6288,3,29791,1.0077,False
1,262021139199,262021139200,6399,3,3200,1.0393,False
1,282300416000,282300416001,6560,3,2187,1.1175,False
1,294743461375,294743461376,6655,3,128,1.0618,False
1,322687697779,322687697780,19,9,343,1.0660,False
1,327938011136,327938011137,6896,3,2982529,1.0725,False
1,332524490752,332524490753,6928,3,2989441,1.0268,False
1,368139326463,368139326464,7167,3,492032,1.0308,False
1,387261078569,387261078570,7289,3,789507,1.0247,False
1,409179521024,409179521025,7424,3,2025,1.0326,False
1,426617661952,426617661953,7528,3,1827847,1.0246,False
1,443845737152,443845737153,7628,3,257049,1.0208,False
1,459401384375,459401384376,215,5,26136,1.0233,False
1,470003609375,470003609376,7775,3,11664,1.0353,False
1,496793088000,496793088001,7920,3,388129,1.0242,False
1,549755813888,549755813889,2,39,9,1.0152,False
1,563949338624,563949338625,224,5,125,1.0661,False
1,587068342272,587068342273,48,7,49,1.0840,False
1,630525109375,630525109376,8575,3,128,1.0227,False
1,779811265199,779811265200,239,5,48400,1.0228,False
1,823974609375,823974609376,9375,3,32,1.0024,False
1,829997587232,829997587233,242,5,81,1.0499,False
1,832706445312,832706445313,9408,3,9409,1.0315,False
1,850893402176,850893402177,9476,3,107163,1.0027,False
1,858187506527,858187506528,9503,3,4822416,1.0385,False
1,906758153839,906758153840,9679,3,6639512,1.0451,False
1,941192000000,941192000001,9800,3,243,1.1016,False
1,948413390625,948413390626,9825,3,634933,1.1319,False
1,1206929110023,1206929110024,10647,3,10648,1.0210,False
1,1365045221357,1365045221358,11093,3,783608049,1.0343,False
1,1500337147392,1500337147393,11448,3,561001,1.0315,False
1,1727568035999,1727568036000,11999,3,36000,1.0094,False
1,1801152661463,1801152661464,23,9,216,1.1195,False
1,1953125000000,1953125000001,12500,3,81,1.0364,False
1,1981355655168,1981355655169,288,5,289,1.0382,False
1,2081462648832,2081462648833,12768,3,57320041,1.0862,False
1,2108970612224,2108970612225,12824,3,7535025,1.0344,False
1,2312536103424,2312536103425,13224,3,49210225,1.0271,False
1,2357947691000,2357947691001,13310,3,3969,1.0194,False
1,2907063451648,2907063451649,14272,3,50653,1.0407,False
1,2946347565056,2946347565057,14336,3,81,1.1104,False
1,2985361963199,2985361963200,14399,3,43200,1.0033,False
1,3761479876608,3761479876609,15552,3,49,1.0054,False
1,3813964890624,3813964890625,15624,3,15625,1.0312,False
1,3938980639167,3938980639168,63,7,64,1.1503,False
1,4000748046875,4000748046876,15875,3,47628,1.0204,False
1,4195092529152,4195092529153,16128,3,16129,1.0396,False
1,4423866679296,4423866679297,16416,3,2197,1.0137,False
1,4607442944000,4607442944001,16640,3,49923,1.0389,False
1,4822526117375,4822526117376,16895,3,11397376,1.0839,False
1,4850840010752,4850840010753,16928,3,243,1.0198,False
1,4860302544019,4860302544020,16939,3,337052881,1.0272,False
1,4920807131729,4920807131730,17009,3,4549689,1.0042,False
1,5102661533696,5102661533697,17216,3,2082249,1.0767,False
1,5429503678976,5429503678977,26,9,81,1.0403,False
1,5581024791272,5581024791273,17738,3,700569,1.0386,False
1,5692192301375,5692192301376,17855,3,1037232,1.0618,False
1,5989895907281,5989895907282,18161,3,453789,1.0059,False
1,6046617600000,6046617600001,360,5,43681,1.0706,False
1,6052448743424,6052448743425,18224,3,54675,1.0162,False
1,6493152444416,6493152444417,18656,3,363609,1.0151,False
1,6578095441553,6578095441554,18737,3,8719893,1.0184,False
1,7624435282568,7624435282569,19682,3,59049,1.0000,False
1,9109686654125,9109686654126,20885,3,3432436569,1.0358,False
1,9592994004992,9592994004993,21248,3,3969,1.0746,False
1,10394486964224,10394486964225,21824,3,223587,1.0636,False
1,10577010348351,10577010348352,21951,3,21952,1.0224,False
1,13348388671875,13348388671876,75,7,1849,1.0613,False
1,13416800886728,13416800886729,23762,3,71289,1.0068,False
1,14347135602899,14347135602900,24299,3,18225,1.0538,False
1,14410997795375,14410997795376,24335,3,25041744,1.0214,False
1,14841595109375,14841595109376,24575,3,36864,1.0312,False
1,17414258688000,17414258688001,25920,3,25921,1.0583,False
1,17576000000000,17576000000001,26000,3,729,1.0209,False
1,18872086298624,18872086298625,26624,3,1125,1.0359,False
1,20703994863579,20703994863580,27459,3,2401,1.0235,False
1,20971520000000,20971520000001,80,7,81,1.0335,False
1,21631350024647,21631350024648,27863,3,16098264,1.0018,False
1,22247314453125,22247314453126,28125,3,343,1.0401,False
1,25347412109375,25347412109376,29375,3,1728,1.0440,False
1,26375773360663,26375773360664,29767,3,5030792,1.0196,False
1,26439622160671,26439622160672,31,9,784,1.0434,False
1,28700396895113,28700396895114,30617,3,2368521,1.0100,False
1,30406385320128,30406385320129,31212,3,2401,1.0407,False
1,30464874119168,30464874119169,31232,3,3087,1.0060,False
1,34163613499392,34163613499393,32448,3,32761,1.0278,False
1,35184372088832,35184372088833,2,45,9,1.0507,False
1,36182582296875,36182582296876,33075,3,32761,1.0413,False
1,37980492079544,37980492079545,33614,3,81,1.0595,False
1,39505397402624,39505397402625,524,5,15125,1.0015,False
1,42757507487232,42757507487233,34968,3,117649,1.2308,False
1,45492921326699,45492921326700,539,5,2700,1.0050,False
1,46407610105856,46407610105857,35936,3,107811,1.0796,False
1,48627125000000,48627125000001,36500,3,109503,1.0253,False
1,58750451171875,58750451171876,38875,3,4726276,1.0107,False
1,58773123072000,58773123072001,38880,3,961,1.0010,False
1,61004779879896,61004779879897,39366,3,49,1.0049,False
1,62122661370125,62122661370126,39605,3,4116841,1.0898,False
1,71742382788608,71742382788609,41552,3,6561,1.1290,False
1,77265229938688,77265229938689,42592,3,3721,1.0329,False
1,78815638671875,78815638671876,35,9,324,1.0137,False
1,80621568000000,80621568000001,43200,3,343,1.0156,False
1,84737566171467,84737566171468,43923,3,343,1.0351,False
1,87380615234375,87380615234376,44375,3,133128,1.0118,False
1,89915392000000,89915392000001,44800,3,79507,1.1135,False
1,94606929690624,94606929690625,624,5,625,1.0691,False
1,106537938947199,106537938947200,639,5,3200,1.0128,False
1,106993205379072,106993205379073,12,13,169,1.0245,False
1,110005519785875,110005519785876,47915,3,143748,1.0163,False
1,119437124392223,119437124392224,49247,3,2592,1.0371,False
1,120363536085624,120363536085625,49374,3,1500625,1.0304,False
1,126317099109375,126317099109376,50175,3,50176,1.0021,False
1,129738649370624,129738649370625,50624,3,30375,1.0606,False
1,130964943398687,130964943398688,50783,3,52256736,1.0019,False
1,138790686109375,138790686109376,51775,3,153664,1.0656,False
1,140126044921875,140126044921876,675,5,676,1.0172,False
1,151931373056000,151931373056001,53360,3,21338667,1.2036,False
1,166872925103499,166872925103500,699,5,133100,1.0706,False
1,169075682574336,169075682574337,55296,3,121,1.0189,False
1,194769073104696,194769073104697,57966,3,4257154447,1.0343,False
1,195920474112000,195920474112001,58080,3,79512889,1.1113,False
1,200849127059547,200849127059548,58563,3,14641,1.0412,False
1,204482853306368,204482853306369,728,5,729,1.0089,False
1,205880671918592,205880671918593,59048,3,6561,1.1297,False
1,211016819955375,211016819955376,59535,3,14884,1.0489,False
1,214470026656712,214470026656713,59858,3,29241,1.0474,False
1,224955389663432,224955389663433,60818,3,11096304921,1.0169,False
1,227819254796875,227819254796876,61075,3,3650692,1.0132,False
1,231656549239296,231656549239297,61416,3,15270703,1.0217,False
1,231916909547519,231916909547520,61439,3,13307904,1.0198,False
1,238328000000000,238328000000001,62000,3,186003,1.0273,False
1,250047000000000,250047000000001,63000,3,63001,1.0054,False
1,250929153369224,250929153369225,63074,3,7900543225,1.0455,False
1,272085195074399,272085195074400,64799,3,185214816,1.1304,False
1,272438055977283,272438055977284,64827,3,961,1.0337,False
1,273675471453125,273675471453126,64925,3,455877,1.0604,False
1,274929312333824,274929312333825,65024,3,65025,1.0343,False
1,285865591796875,285865591796876,65875,3,67228,1.0184,False
1,294079625000000,294079625000001,66500,3,332667,1.0250,False
1,322927691244543,322927691244544,68607,3,512,1.0244,False
1,337618789203968,337618789203969,69632,3,8649,1.1059,False
1,371291875215624,371291875215625,71874,3,625,1.0718,False
1,378874760256000,378874760256001,72360,3,269255281,1.0667,False
1,379870928666624,379870928666625,824,5,210125,1.0502,False
1,381078125000000,381078125000001,72500,3,19773,1.0169,False
1,392303547090125,392303547090126,73205,3,1323,1.0041,False
1,400755681091583,400755681091584,73727,3,1404928,1.1051,False
1,423344828683503,423344828683504,75087,3,141512,1.0381,False
1,428264654900224,428264654900225,844,5,511225,1.0159,False
1,448470066397184,448470066397185,76544,3,2187,1.0400,False
1,475574845999616,475574845999617,78056,3,771147,1.0995,False
1,476837158203125,476837158203126,5,21,49,1.0443,False
1,485735942131712,485735942131713,78608,3,1521,1.0041,False
1,488038239039168,488038239039169,78732,3,169,1.0234,False
1,512000000000000,512000000000001,80000,3,81,1.0302,False
1,524074493210624,524074493210625,80624,3,1929375,1.0180,False
1,564952965181632,564952965181633,82668,3,4289041,1.0438,False
1,565240041718568,565240041718569,82682,3,823543,1.0812,False
1,570609789815807,570609789815808,82943,3,31104,1.0672,False
1,582601310208000,582601310208001,83520,3,83521,1.0536,False
1,618121839509504,618121839509505,44,9,81,1.0061,False
1,629356694903873,629356694903874,85697,3,128547,1.0129,False
1,659298064767875,659298064767876,87035,3,1823508,1.0060,False
1,693412621376831,693412621376832,88511,3,770173504,1.0403,False
1,702998509791213,702998509791214,88917,3,7906143973,1.0390,False
1,715092588417024,715092588417025,89424,3,207025,1.0361,False
1,744268574490624,744268574490625,90624,3,3125,1.0169,False
1,759499111293272,759499111293273,91238,3,19773,1.0192,False
1,773822903386112,773822903386113,91808,3,13495923,1.0030,False
1,811134802948799,811134802948800,959,5,193600,1.0180,False
1,812453532239231,812453532239232,93311,3,3655808,1.2562,False
1,815372697600000,815372697600001,960,5,961,1.0010,False
1,909149169921875,909149169921876,96875,3,972,1.0013,False
1,918301704771599,918301704771600,97199,3,97200,1.0395,False
1,983827969979912,983827969979913,99458,3,121203,1.1501,False
1,995009990004999,995009990005000,999,5,625,1.0456,False
1,1011564293423104,1011564293423105,100384,3,138039001,1.0185,False
1,1037970703125000,1037970703125001,101250,3,5329,1.0264,False
1,1041819787109375,1041819787109376,101375,3,27648,1.0037,False
1,1119130473102767,1119130473102768,47,9,432,1.0125,False
1,1156798321859375,1156798321859376,104975,3,157464,1.0271,False
1,1178386696410624,1178386696410625,105624,3,105625,1.0148,False
1,1207813523111936,1207813523111937,106496,3,1323,1.0262,False
1,1247434917281792,1247434917281793,107648,3,243,1.0430,False
1,1351431663616000,1351431663616001,110560,3,191075329,1.0203,False
1,1352605460594688,1352605460594689,48,9,49,1.0044,False
1,1353779937050624,1353779937050625,110624,3,3900625,1.1082,False
1,1585323870759208,1585323870759209,116602,3,16468459,1.0017,False
1,1586833508625119,1586833508625120,116639,3,6001128,1.0476,False
1,1600094001468347,1600094001468348,116963,3,350892,1.0073,False
1,1628372074401792,1628372074401793,117648,3,117649,1.0365,False
1,1719331336239399,1719331336239400,119799,3,219700,1.0241,False
1,1869959168000000,1869959168000001,123200,3,41067,1.0769,False
1,1902153083235327,1902153083235328,123903,3,3035648,1.0308,False
1,2002627351780749,2002627351780750,1149,5,2850125,1.0349,False
1,2052644007145472,2052644007145473,127088,3,35721,1.0095,False
1,2148286932320768,2148286932320769,129032,3,2187,1.0649,False
1,2176731947908799,2176731947908800,129599,3,388800,1.0185,False
1,2205884449109375,2205884449109376,130175,3,40684896,1.0465,False
1,2213263968768000,2213263968768001,130320,3,130321,1.0067,False
1,2251799813685248,2251799813685249,2,51,9,1.0116,False
1,2316987672506143,2316987672506144,1183,5,3872,1.0190,False
1,2592525974609375,2592525974609376,137375,3,438048,1.1159,False
1,2615522986952000,2615522986952001,137780,3,6561,1.0979,False
1,2647776904509375,2647776904509376,1215,5,32,1.0218,False
1,2744000000000000,2744000000000001,140000,3,6859,1.0835,False
1,2747306344218624,2747306344218625,1224,5,6125,1.0154,False
1,2780854980890624,2780854980890625,140624,3,421875,1.0134,False
1,3051757812500000,3051757812500001,1250,5,121,1.0346,False
1,3156339874332672,3156339874332673,146688,3,7187761,1.0244,False
1,3177430664438744,3177430664438745,147014,3,470065761,1.0080,False
1,3299763591802133,3299763591802134,53,9,243,1.0120,False
1,3436251855670808,3436251855670809,150902,3,6751269,1.0216,False
1,3503081925455624,3503081925455625,151874,3,384766875,1.1052,False
1,3536819464256000,3536819464256001,152360,3,34327881,1.0414,False
1,3623807877580799,3623807877580800,153599,3,77875200,1.0074,False
1,3708759747239000,3708759747239001,154790,3,880486929,1.0154,False
1,3770775127457792,3770775127457793,155648,3,1521,1.0007,False
1,3814624023906249,3814624023906250,156249,3,15625,1.0619,False
1,4105607501953125,4105607501953126,160125,3,92486689,1.0114,False
1,4157747712000000,4157747712000001,160800,3,7879249,1.0094,False
1,4162869428341896,4162869428341897,160866,3,405769,1.0230,False
1,4522822787109375,4522822787109376,165375,3,256,1.0254,False
1,4545258524577792,4545258524577793,165648,3,4083082201,1.0323,False
1,4573221400159803,4573221400159804,165987,3,3935931169,1.0232,False
1,4605283542561624,4605283542561625,166374,3,5187875,1.0967,False
1,4660894189249921,4660894189249922,167041,3,83521,1.0102,False
1,4808923390137671,4808923390137672,168791,3,258806052,1.0277,False
1,4863229814657024,4863229814657025,169424,3,453789,1.0817,False
1,4902863079788387,4902863079788388,169883,3,175986756,1.0139,False
1,5380718270087168,5380718270087169,175232,3,16641,1.0156,False
1,5558966423908136,5558966423908137,177146,3,531441,1.0000,False
1,5562450409787487,5562450409787488,177183,3,774919712,1.0080,False
1,5839195757445224,5839195757445225,180074,3,2117012121,1.0642,False
1,5853799906279424,5853799906279425,180224,3,81,1.0872,False
1,6499732741786367,6499732741786368,186623,3,9144576,1.0356,False
1,6653264292935441,6653264292935442,188081,3,321489,1.0121,False
1,6909265189582847,6909265189582848,190463,3,18432,1.0106,False
1,7355714043392000,7355714043392001,194480,3,583443,1.0037,False
1,7599708407660543,7599708407660544,196607,3,3211264,1.0355,False
1,7929050780872143,7929050780872144,199407,3,50446314248,1.0327,False
1,7998560086398272,7998560086398273,199988,3,250047,1.0196,False
1,8000000000000000,8000000000000001,200000,3,441,1.0207,False
1,8157745609160616,8157745609160617,201306,3,20151121,1.0111,False
1,8193540096000000,8193540096000001,201600,3,201601,1.0212,False
1,8293509467471872,8293509467471873,28,11,529,1.0137,False
1,8413734218219000,8413734218219001,203390,3,19683,1.0090,False
1,8414975304000000,8414975304000001,203400,3,278455969,1.0454,False
1,8595975805448192,8595975805448193,204848,3,53538489,1.0590,False
1,8749838857092047,8749838857092048,206063,3,4210704,1.0188,False
1,8935076086752843,8935076086752844,207507,3,1976836,1.0160,False
1,8943863033234375,8943863033234376,207575,3,622728,1.0118,False
1,10149529619529728,10149529619529729,216512,3,59049,1.1093,False
1,10575564875000000,10575564875000001,219500,3,658503,1.0150,False
1,10820696918335487,10820696918335488,221183,3,55296,1.0781,False
1,11319543995513291,11319543995513292,224531,3,671225292,1.0161,False
1,11496351688555384,11496351688555385,225694,3,6974881,1.0390,False
1,11867173613957375,11867173613957376,228095,3,5184,1.0802,False
1,12068081787109375,12068081787109376,229375,3,4096,1.0628,False
1,13015021585319424,13015021585319425,235224,3,9409,1.0568,False
1,13340382248005632,13340382248005633,237168,3,237169,1.0078,False
1,13472777184875000,13472777184875001,237950,3,1743146001,1.0268,False
1,14011465067712000,14011465067712001,241080,3,87030241,1.0022,False
1,14507145975869000,14507145975869001,243890,3,13689,1.0359,False
1,14688844572875264,14688844572875265,244904,3,19773,1.0001,False
1,15160738106992499,15160738106992500,247499,3,64867500,1.0186,False
1,15438249000000000,15438249000000001,249000,3,12201049,1.0653,False
1,15633814156853823,15633814156853824,63,9,64,1.0114,False
1,15806447867841344,15806447867841345,250964,3,93892851,1.0003,False
1,16327523473149888,16327523473149889,253692,3,107653,1.0541,False
1,16753241253096152,16753241253096153,255878,3,19683,1.0368,False
1,17138190759100767,17138190759100768,257823,3,130321,1.1046,False
1,17182899233869823,17182899233869824,258047,3,39923712,1.0082,False
1,17514218531127375,17514218531127376,259695,3,3881509832,1.0194,False
1,17804115836928000,17804115836928001,261120,3,261121,1.0001,False
1,18014192351838207,18014192351838208,262143,3,65536,1.0419,False
1,18226330449477632,18226330449477633,263168,3,2187,1.0965,False
1,18856779551493632,18856779551493633,266168,3,3560769,1.0089,False
1,19141296875000000,19141296875000001,267500,3,61731,1.0003,False
1,19393776007875711,19393776007875712,268671,3,678976,1.0193,False
1,19465109000000000,19465109000000001,269000,3,19683,1.0244,False
1,19674253295936000,19674253295936001,269960,3,728946001,1.0601,False
1,19730057952188375,19730057952188376,270215,3,5832,1.0010,False
1,20430377349609375,20430377349609376,273375,3,32,1.0017,False
1,21207928832000000,21207928832000001,276800,3,521703,1.0027,False
1,21577826304000000,21577826304000001,278400,3,336091,1.0292,False
1,21667003912274687,21667003912274688,278783,3,836352,1.0012,False
1,21936950640377856,21936950640377857,6,21,49,1.0041,False
1,22164124415412699,22164124415412700,280899,3,3853948,1.0518,False
1,23069291549032448,23069291549032449,284672,3,2401,1.0360,False
1,23887623168863999,23887623168864000,287999,3,146016000,1.0070,False
1,25736130003886784,25736130003886785,295244,3,8680203,1.0280,False
1,26376836664098024,26376836664098025,297674,3,297675,1.0305,False
1,28156335667937567,28156335667937568,304223,3,217028448,1.0071,False
1,28296722014797824,28296722014797825,224,7,225,1.0018,False
1,29160946330403399,29160946330403400,307799,3,5324664600,1.0149,False
1,31087100296429568,31087100296429569,68,9,1323,1.0165,False
1,32036235776000000,32036235776000001,317600,3,250047,1.0298,False
1,32831631543909743,32831631543909744,320207,3,141419664,1.0091,False
1,33227242472886272,33227242472886273,321488,3,964467,1.0035,False
1,33417985355325208,33417985355325209,322102,3,841,1.0073,False
1,33680742766608384,33680742766608385,322944,3,49729,1.0066,False
1,33966636285722624,33966636285722625,2024,5,10125,1.0076,False
1,34011909072971999,34011909072972000,323999,3,449307000,1.0398,False
1,35244075984634199,35244075984634200,2039,5,4452100,1.0195,False
1,36028797018963968,36028797018963969,2,55,121,1.0468,False
1,36141246525210624,36141246525210625,330624,3,330625,1.0136,False
1,36520017211109375,36520017211109376,331775,3,497664,1.0246,False
1,36815369630184963,36815369630184964,332667,3,47524,1.0180,False
1,36902090154442752,36902090154442753,332928,3,332929,1.0476,False
1,37676234901824000,37676234901824001,335240,3,49280427,1.0242,False
1,37980492079544000,37980492079544001,336140,3,2197,1.0877,False
1,38850407784808703,38850407784808704,338687,3,366799104,1.0081,False
1,41461973598076928,41461973598076929,346112,3,81,1.0306,False
1,42716435874578432,42716435874578433,349568,3,8874441,1.0816,False
1,42875000000000000,42875000000000001,350000,3,243,1.0038,False
1,43328985494459391,43328985494459392,351231,3,175616,1.0326,False
1,44518442225463296,44518442225463297,354416,3,3750705049,1.0385,False
1,45054171194490368,45054171194490369,355832,3,2458858923,1.0285,False
1,45848500718449031,45848500718449032,71,9,648,1.0111,False
1,45925403846121631,45925403846121632,358111,3,566048,1.0536,False
1,46631121223417856,46631121223417857,359936,3,1271403,1.0386,False
1,46989214132026375,46989214132026376,360855,3,2744,1.0045,False
1,48607978698654848,48607978698654849,242,7,81,1.0351,False
1,48673918037109375,48673918037109376,2175,5,15488,1.0127,False
1,51185479439729088,51185479439729089,371292,3,18193357,1.0019,False
1,53134900384403123,53134900384403124,375947,3,96712623,1.0411,False
1,57763132604416000,57763132604416001,386560,3,16807,1.0122,False
1,58871132706756096,58871132706756097,389016,3,65743873,1.0506,False
1,59034269287109375,59034269287109376,389375,3,292032,1.0424,False
1,59421269917159424,59421269917159425,390224,3,27225,1.0278,False
1,59604187012890624,59604187012890625,390624,3,390625,1.0310,False
1,61061981012979687,61061981012979688,393783,3,178800412,1.0328,False
1,61753060708456447,61753060708456448,395263,3,1291396096,1.1427,False
1,61794315361428551,61794315361428552,395351,3,69743151576,1.0129,False
1,63021984574865408,63021984574865409,397952,3,397953,1.0355,False
1,64106138619993861,64106138619993862,400221,3,300763,1.0901,False
1,64678221748109312,64678221748109313,401408,3,81,1.0173,False
1,64784287959231743,64784287959231744,2303,5,2304,1.0040,False
1,66245276518682624,66245276518682625,404624,3,55125,1.0059,False
1,67216591808626688,67216591808626689,406592,3,18740241,1.0006,False
1,68077242810368000,68077242810368001,408320,3,1224963,1.0154,False
1,69236162375450624,69236162375450625,410624,3,16875,1.0088,False
1,71593310623367168,71593310623367169,415232,3,177957,1.0274,False
1,74724856128000000,74724856128000001,421200,3,421201,1.0133,False
1,75459597371518976,75459597371518977,422576,3,729,1.0119,False
1,76089732793458749,76089732793458750,423749,3,11486480625,1.0061,False
1,76418806734900279,76418806734900280,424359,3,2079364,1.0229,False
1,79626240000000000,79626240000000001,2400,5,343,1.0668,False
1,83739660157562499,83739660157562500,437499,3,85562500,1.0120,False
1,84034003010995331,84034003010995332,438011,3,1314036,1.0016,False
1,88358968664000000,88358968664000001,445400,3,514908603,1.0148,False
1,88659260522123264,88659260522123265,445904,3,263169,1.0248,False
1,90730089355455549,90730089355455550,449349,3,244910575,1.0046,False
1,91124392501349999,91124392501350000,449999,3,1350000,1.0024,False
1,91886486328125000,91886486328125001,451250,3,729,1.0357,False
1,93445635428199872,93445635428199873,453788,3,76690341,1.0347,False
1,93496301775603000,93496301775603001,453870,3,14641,1.0020,False
1,93553168742673128,93553168742673129,453962,3,151321,1.0613,False
1,94584457541210624,94584457541210625,455624,3,151875,1.0637,False
1,95428330181859375,95428330181859376,456975,3,456976,1.0142,False
1,97335365201379999,97335365201380000,459999,3,20000,1.0014,False
1,97461093687512499,97461093687512500,2499,5,3125,1.0331,False
1,101083986837287000,101083986837287001,465830,3,185197347,1.0080,False
1,103308932888792567,103308932888792568,469223,3,45662904,1.0347,False
1,103314877598855168,103314877598855169,469232,3,5000211,1.0104,False
1,105132662185951232,105132662185951233,471968,3,471969,1.0324,False
1,105415590171272471,105415590171272472,472391,3,23147208,1.0330,False
1,107263279098085375,107263279098085376,475135,3,73547776,1.0563,False
1,109300370099090624,109300370099090625,478124,3,28940625,1.0741,False
1,112292003497128623,112292003497128624,482447,3,76176,1.0169,False
1,112639398991888384,112639398991888385,482944,3,29791,1.0489,False
1,112907598484086783,112907598484086784,483327,3,2048,1.0486,False
1,113020467282870272,113020467282870273,483488,3,106171803,1.0148,False
1,118444557112153208,118444557112153209,491102,3,7960923,1.0557,False
1,118746531025551359,118746531025551360,491519,3,32768,1.0421,False
1,123255429589813247,123255429589813248,497663,3,24385536,1.0329,False
1,124399648583450624,124399648583450625,2624,5,625,1.0108,False
1,124999250001499999,124999250001500000,499999,3,50000,1.0690,False
1,125191347554081375,125191347554081376,500255,3,1225567584,1.0007,False
1,127358428955078125,127358428955078126,503125,3,5121169,1.0270,False
1,129746337890625000,129746337890625001,506250,3,343,1.0126,False
1,134217728000000000,134217728000000001,80,9,81,1.1497,False
1,140335612879826944,140335612879826945,519664,3,47210863,1.0173,False
1,140478247931904000,140478247931904001,519840,3,519841,1.0060,False
1,141259586314089608,141259586314089609,520802,3,151807041,1.0251,False
1,143963508715876864,143963508715876865,524104,3,130321,1.0244,False
1,144115188075855872,144115188075855873,2,57,9,1.0104,False
1,146235742395047423,146235742395047424,526847,3,1580544,1.0049,False
